Date,Time,Comp,Round,Day,Venue,Result,Team,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-06-04,20:45 (14:45),Friendlies (M),Friendlies (M),Fri,Home,W,,4,0,cz Czech Republic,,,,,Giorgio Chiellini,4-1-4-1,Lionel Tschudi,Match Report,
2021-06-11,21:00 (15:00),UEFA Euro,Group stage,Fri,Neutral,W,,3,0,tr Türkiye,1.9,0.6,64,"12,916",Giorgio Chiellini,4-3-3,Danny Makkelie,Match Report,
2021-06-16,21:00 (15:00),UEFA Euro,Group stage,Wed,Neutral,W,,3,0,ch Switzerland,2.7,0.2,49,"12,445",Giorgio Chiellini,4-3-3,Sergey Karasev,Match Report,
2021-06-20,18:00 (12:00),UEFA Euro,Group stage,Sun,Neutral,W,,1,0,wls Wales,2.0,0.4,69,"11,541",Leonardo Bonucci,4-3-3,Ovidiu Hațegan,Match Report,
2021-06-26,20:00 (15:00),UEFA Euro,Round of 16,Sat,Neutral,W,,2,1,at Austria,1.9,0.8,51,"18,910",Leonardo Bonucci,4-3-3,Anthony Taylor,Match Report,Required Extra Time
2021-07-02,21:00 (15:00),UEFA Euro,Quarter-finals,Fri,Away,W,,2,1,be Belgium,1.7,1.8,54,"12,984",Giorgio Chiellini,4-3-3,Slavko Vinčič,Match Report,
2021-07-06,20:00 (15:00),UEFA Euro,Semi-finals,Tue,Home,D,,1 (4),1 (2),es Spain,0.8,1.5,31,"57,811",Giorgio Chiellini,4-3-3,Felix Brych,Match Report,Italy won on penalty kicks following extra time
2021-07-11,20:00 (15:00),UEFA Euro,Final,Sun,Neutral,D,,1 (3),1 (2),eng England,2.2,0.6,65,"67,173",Giorgio Chiellini,4-3-3,Björn Kuipers,Match Report,Italy won on penalty kicks following extra time
2021-09-02,20:45 (14:45),WCQ,First round,Thu,Home,D,,1,1,bg Bulgaria,,,79,"14,366",Leonardo Bonucci,4-3-3,Serdar Gözübüyük,Match Report,
2021-09-05,20:45 (14:45),WCQ,First round,Sun,Away,D,,0,0,ch Switzerland,,,52,"31,500",Giorgio Chiellini,4-3-3,Carlos del Cerro,Match Report,
2021-09-08,20:45 (14:45),WCQ,First round,Wed,Home,W,,5,0,lt Lithuania,,,72,"10,578",Jorginho,4-3-3,Craig Pawson,Match Report,
2021-10-06,20:45 (14:45),UEFA Nations League,Semi-finals,Wed,Neutral,L,,1,2,es Spain,,,25,"33,524",Leonardo Bonucci,4-3-3,Sergey Karasev,Match Report,
2021-10-10,15:00 (09:00),UEFA Nations League,Third-place match,Sun,Neutral,W,,2,1,be Belgium,,,40,"16,724",Gianluigi Donnarumma,4-3-3,Srđan Jovanović,Match Report,
2021-11-12,20:45 (14:45),WCQ,First round,Fri,Home,D,,1,1,ch Switzerland,,,64,"45,699",Leonardo Bonucci,4-3-3,Anthony Taylor,Match Report,
2021-11-15,19:45 (14:45),WCQ,First round,Mon,Away,D,,0,0,nir Northern Ireland,,,71,,Leonardo Bonucci,4-3-3,István Kovács,Match Report,
2020-09-04,20:45 (14:45),UEFA Nations League,League A,Fri,Home,D,,1,1,ba Bosnia & Herz'na,,,61,,Leonardo Bonucci,4-3-3,Anastasios Sidiropoulos,Match Report,
2020-09-07,20:45 (14:45),UEFA Nations League,League A,Mon,Away,W,,1,0,nl Netherlands,,,57,,Giorgio Chiellini,4-3-3,Felix Brych,Match Report,
2020-10-07,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,W,,6,0,md Moldova,,,,,Stephan El Shaarawy,4-3-3,Daniel Siebert,Match Report,
2020-10-11,20:45 (14:45),UEFA Nations League,League A,Sun,Away,D,,0,0,pl Poland,,,61,"9,200",Leonardo Bonucci,4-3-3,José Sánchez,Match Report,
2020-10-14,20:45 (14:45),UEFA Nations League,League A,Wed,Home,D,,1,1,nl Netherlands,,,55,623,Giorgio Chiellini,4-1-4-1,Anthony Taylor,Match Report,
2020-11-11,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,W,,4,0,ee Estonia,,,,,Salvatore Sirigu,4-1-4-1,Rade Obrenović,Match Report,
2020-11-15,20:45 (14:45),UEFA Nations League,League A,Sun,Home,W,,2,0,pl Poland,,,62,,Alessandro Florenzi,4-3-3,Clément Turpin,Match Report,
2020-11-18,20:45 (14:45),UEFA Nations League,League A,Wed,Away,W,,2,0,ba Bosnia & Herz'na,,,64,,Alessandro Florenzi,4-3-3,Artur Dias,Match Report,
